('vfx-1', '2020-09-03T17:06:37Z', '2020-09-03T17:06:39Z', '2020-09-03T17:06:44Z', '2020-09-03T17:06:44Z', 7.0)
('vfx-2', '2020-09-03T17:07:12Z', '2020-09-03T17:07:14Z', '2020-09-03T17:07:18Z', '2020-09-03T17:07:18Z', 6.0)
('vfx-3', '2020-09-03T17:07:50Z', '2020-09-03T17:07:51Z', '2020-09-03T17:07:55Z', '2020-09-03T17:07:55Z', 5.0)
('color', '2020-09-03T17:08:25Z', '2020-09-03T17:08:27Z', '2020-09-03T17:08:30Z', '2020-09-03T17:08:30Z', 5.0)
('sound', '2020-09-03T17:09:00Z', '2020-09-03T17:09:02Z', '2020-09-03T17:09:07Z', '2020-09-03T17:09:07Z', 7.0)
('hdr', '2020-09-03T17:09:36Z', '2020-09-03T17:09:38Z', '2020-09-03T17:09:42Z', '2020-09-03T17:09:42Z', 6.0)
('owner', '2020-09-03T17:10:55Z', '2020-09-03T17:10:57Z', '2020-09-03T17:11:00Z', '2020-09-03T17:11:00Z', 5.0)
('vfx-1', '2020-09-03T17:10:58Z', '2020-09-03T17:11:00Z', '2020-09-03T17:11:05Z', '2020-09-03T17:11:05Z', 7.0)
('vfx-2', '2020-09-03T17:11:40Z', '2020-09-03T17:11:42Z', '2020-09-03T17:11:47Z', '2020-09-03T17:11:47Z', 7.0)
('vfx-3', '2020-09-03T17:12:20Z', '2020-09-03T17:12:22Z', '2020-09-03T17:12:25Z', '2020-09-03T17:12:25Z', 5.0)
('color', '2020-09-03T17:13:00Z', '2020-09-03T17:13:02Z', '2020-09-03T17:13:06Z', '2020-09-03T17:13:06Z', 6.0)
('sound', '2020-09-03T17:13:44Z', '2020-09-03T17:13:46Z', '2020-09-03T17:13:50Z', '2020-09-03T17:13:50Z', 6.0)
('hdr', '2020-09-03T17:14:26Z', '2020-09-03T17:14:28Z', '2020-09-03T17:14:34Z', '2020-09-03T17:14:34Z', 8.0)
('owner', '2020-09-03T17:15:44Z', '2020-09-03T17:15:47Z', '2020-09-03T17:15:51Z', '2020-09-03T17:15:51Z', 7.0)
('vfx-1', '2020-09-03T17:15:47Z', '2020-09-03T17:15:50Z', '2020-09-03T17:15:53Z', '2020-09-03T17:15:53Z', 6.0)
('vfx-2', '2020-09-03T17:16:30Z', '2020-09-03T17:16:32Z', '2020-09-03T17:16:35Z', '2020-09-03T17:16:35Z', 5.0)
('vfx-3', '2020-09-03T17:17:10Z', '2020-09-03T17:17:12Z', '2020-09-03T17:17:15Z', '2020-09-03T17:17:15Z', 5.0)
('color', '2020-09-03T17:17:51Z', '2020-09-03T17:17:53Z', '2020-09-03T17:17:56Z', '2020-09-03T17:17:56Z', 5.0)
('sound', '2020-09-03T17:18:35Z', '2020-09-03T17:18:37Z', '2020-09-03T17:18:40Z', '2020-09-03T17:18:40Z', 5.0)
('hdr', '2020-09-03T17:19:16Z', '2020-09-03T17:19:18Z', '2020-09-03T17:19:23Z', '2020-09-03T17:19:23Z', 7.0)
('owner', '2020-09-03T17:20:34Z', '2020-09-03T17:20:36Z', '2020-09-03T17:20:41Z', '2020-09-03T17:20:41Z', 7.0)
('vfx-1', '2020-09-03T17:20:38Z', '2020-09-03T17:20:40Z', '2020-09-03T17:20:43Z', '2020-09-03T17:20:43Z', 5.0)
('vfx-2', '2020-09-03T17:21:20Z', '2020-09-03T17:21:23Z', '2020-09-03T17:21:27Z', '2020-09-03T17:21:27Z', 7.0)
('vfx-3', '2020-09-03T17:22:00Z', '2020-09-03T17:22:02Z', '2020-09-03T17:22:06Z', '2020-09-03T17:22:06Z', 6.0)
('color', '2020-09-03T17:22:40Z', '2020-09-03T17:22:42Z', '2020-09-03T17:22:45Z', '2020-09-03T17:22:45Z', 5.0)
('sound', '2020-09-03T17:23:24Z', '2020-09-03T17:23:25Z', '2020-09-03T17:23:28Z', '2020-09-03T17:23:28Z', 4.0)
('hdr', '2020-09-03T17:24:06Z', '2020-09-03T17:24:08Z', '2020-09-03T17:24:11Z', '2020-09-03T17:24:11Z', 5.0)
('owner', '2020-09-03T17:25:24Z', '2020-09-03T17:25:27Z', '2020-09-03T17:25:30Z', '2020-09-03T17:25:30Z', 6.0)
('owner', '2020-09-03T17:30:47Z', '2020-09-03T17:30:49Z', '2020-09-03T17:30:52Z', '2020-09-03T17:30:52Z', 5.0)
('vfx-1', '2020-09-03T17:25:28Z', '2020-09-03T17:25:30Z', '2020-09-03T17:25:34Z', '2020-09-03T17:25:34Z', 6.0)
('vfx-2', '2020-09-03T17:26:10Z', '2020-09-03T17:26:12Z', '2020-09-03T17:26:15Z', '2020-09-03T17:26:15Z', 5.0)
('vfx-3', '2020-09-03T17:26:50Z', '2020-09-03T17:26:52Z', '2020-09-03T17:26:55Z', '2020-09-03T17:26:55Z', 5.0)
('color', '2020-09-03T17:27:30Z', '2020-09-03T17:27:31Z', '2020-09-03T17:27:35Z', '2020-09-03T17:27:35Z', 5.0)
('sound', '2020-09-03T17:28:14Z', '2020-09-03T17:28:17Z', '2020-09-03T17:28:20Z', '2020-09-03T17:28:20Z', 6.0)
('hdr', '2020-09-03T17:28:51Z', '2020-09-03T17:28:54Z', '2020-09-03T17:28:58Z', '2020-09-03T17:28:58Z', 7.0)
('owner', '2020-09-03T17:32:24Z', '2020-09-03T17:32:26Z', '2020-09-03T17:32:30Z', '2020-09-03T17:32:30Z', 6.0)
('vfx-1', '2020-09-03T17:32:28Z', '2020-09-03T17:32:29Z', '2020-09-03T17:32:33Z', '2020-09-03T17:32:33Z', 5.0)
('vfx-2', '2020-09-03T17:33:02Z', '2020-09-03T17:33:04Z', '2020-09-03T17:33:09Z', '2020-09-03T17:33:09Z', 7.0)
('vfx-3', '2020-09-03T17:33:40Z', '2020-09-03T17:33:41Z', '2020-09-03T17:33:45Z', '2020-09-03T17:33:45Z', 5.0)
('color', '2020-09-03T17:34:20Z', '2020-09-03T17:34:22Z', '2020-09-03T17:34:26Z', '2020-09-03T17:34:26Z', 6.0)
('sound', '2020-09-03T17:35:04Z', '2020-09-03T17:35:05Z', '2020-09-03T17:35:10Z', '2020-09-03T17:35:10Z', 6.0)
('hdr', '2020-09-03T17:35:46Z', '2020-09-03T17:35:48Z', '2020-09-03T17:35:52Z', '2020-09-03T17:35:52Z', 6.0)
('owner', '2020-09-03T17:37:14Z', '2020-09-03T17:37:16Z', '2020-09-03T17:37:20Z', '2020-09-03T17:37:20Z', 6.0)
('vfx-1', '2020-09-03T17:37:18Z', '2020-09-03T17:37:20Z', '2020-09-03T17:37:23Z', '2020-09-03T17:37:23Z', 5.0)
('vfx-2', '2020-09-03T17:38:00Z', '2020-09-03T17:38:02Z', '2020-09-03T17:38:07Z', '2020-09-03T17:38:07Z', 7.0)
('vfx-3', '2020-09-03T17:38:40Z', '2020-09-03T17:38:42Z', '2020-09-03T17:38:46Z', '2020-09-03T17:38:46Z', 6.0)
('color', '2020-09-03T17:39:20Z', '2020-09-03T17:39:22Z', '2020-09-03T17:39:26Z', '2020-09-03T17:39:26Z', 6.0)
('sound', '2020-09-03T17:39:57Z', '2020-09-03T17:39:59Z', '2020-09-03T17:40:04Z', '2020-09-03T17:40:04Z', 7.0)
('hdr', '2020-09-03T17:40:37Z', '2020-09-03T17:40:39Z', '2020-09-03T17:40:43Z', '2020-09-03T17:40:43Z', 6.0)
('owner', '2020-09-03T17:41:54Z', '2020-09-03T17:41:57Z', '2020-09-03T17:41:59Z', '2020-09-03T17:41:59Z', 5.0)
('vfx-1', '2020-09-03T17:41:58Z', '2020-09-03T17:42:01Z', '2020-09-03T17:42:04Z', '2020-09-03T17:42:04Z', 6.0)
('vfx-2', '2020-09-03T17:42:40Z', '2020-09-03T17:42:42Z', '2020-09-03T17:42:45Z', '2020-09-03T17:42:45Z', 5.0)
('vfx-3', '2020-09-03T17:43:20Z', '2020-09-03T17:43:22Z', '2020-09-03T17:43:26Z', '2020-09-03T17:43:26Z', 6.0)
('color', '2020-09-03T17:44:00Z', '2020-09-03T17:44:01Z', '2020-09-03T17:44:06Z', '2020-09-03T17:44:06Z', 6.0)
('sound', '2020-09-03T17:44:44Z', '2020-09-03T17:44:45Z', '2020-09-03T17:44:50Z', '2020-09-03T17:44:50Z', 6.0)
('hdr', '2020-09-03T17:45:26Z', '2020-09-03T17:45:28Z', '2020-09-03T17:45:32Z', '2020-09-03T17:45:32Z', 6.0)
('owner', '2020-09-03T17:46:44Z', '2020-09-03T17:46:46Z', '2020-09-03T17:46:51Z', '2020-09-03T17:46:51Z', 7.0)
('vfx-1', '2020-09-03T17:46:48Z', '2020-09-03T17:46:50Z', '2020-09-03T17:46:53Z', '2020-09-03T17:46:53Z', 5.0)
('vfx-2', '2020-09-03T17:47:30Z', '2020-09-03T17:47:32Z', '2020-09-03T17:47:35Z', '2020-09-03T17:47:35Z', 5.0)
('vfx-3', '2020-09-03T17:48:10Z', '2020-09-03T17:48:12Z', '2020-09-03T17:48:16Z', '2020-09-03T17:48:16Z', 6.0)
('color', '2020-09-03T17:48:50Z', '2020-09-03T17:48:51Z', '2020-09-03T17:48:56Z', '2020-09-03T17:48:56Z', 6.0)
('sound', '2020-09-03T17:49:34Z', '2020-09-03T17:49:37Z', '2020-09-03T17:49:40Z', '2020-09-03T17:49:40Z', 6.0)
('hdr', '2020-09-03T17:50:11Z', '2020-09-03T17:50:13Z', '2020-09-03T17:50:16Z', '2020-09-03T17:50:16Z', 5.0)
('owner', '2020-09-03T17:51:34Z', '2020-09-03T17:51:36Z', '2020-09-03T17:51:41Z', '2020-09-03T17:51:41Z', 7.0)
('vfx-1', '2020-09-03T17:51:38Z', '2020-09-03T17:51:40Z', '2020-09-03T17:51:45Z', '2020-09-03T17:51:45Z', 7.0)
('vfx-2', '2020-09-03T17:52:20Z', '2020-09-03T17:52:22Z', '2020-09-03T17:52:26Z', '2020-09-03T17:52:26Z', 6.0)
('vfx-3', '2020-09-03T17:53:00Z', '2020-09-03T17:53:02Z', '2020-09-03T17:53:05Z', '2020-09-03T17:53:05Z', 5.0)
('color', '2020-09-03T17:53:40Z', '2020-09-03T17:53:41Z', '2020-09-03T17:53:45Z', '2020-09-03T17:53:45Z', 5.0)
('sound', '2020-09-03T17:54:24Z', '2020-09-03T17:54:25Z', '2020-09-03T17:54:29Z', '2020-09-03T17:54:29Z', 5.0)
('hdr', '2020-09-03T17:55:06Z', '2020-09-03T17:55:08Z', '2020-09-03T17:55:12Z', '2020-09-03T17:55:12Z', 6.0)
('owner', '2020-09-03T17:56:34Z', '2020-09-03T17:56:37Z', '2020-09-03T17:56:41Z', '2020-09-03T17:56:41Z', 7.0)
('vfx-1', '2020-09-03T17:56:37Z', '2020-09-03T17:56:39Z', '2020-09-03T17:56:43Z', '2020-09-03T17:56:43Z', 6.0)
('vfx-2', '2020-09-03T17:57:12Z', '2020-09-03T17:57:14Z', '2020-09-03T17:57:17Z', '2020-09-03T17:57:17Z', 5.0)
('vfx-3', '2020-09-03T17:57:50Z', '2020-09-03T17:57:51Z', '2020-09-03T17:57:56Z', '2020-09-03T17:57:56Z', 6.0)
('color', '2020-09-03T17:58:24Z', '2020-09-03T17:58:26Z', '2020-09-03T17:58:29Z', '2020-09-03T17:58:29Z', 5.0)
('sound', '2020-09-03T17:59:04Z', '2020-09-03T17:59:05Z', '2020-09-03T17:59:10Z', '2020-09-03T17:59:10Z', 6.0)
('hdr', '2020-09-03T17:59:46Z', '2020-09-03T17:59:48Z', '2020-09-03T17:59:51Z', '2020-09-03T17:59:51Z', 5.0)
