('hdr', 'sound', '0.000035', '0.000177', '0.000000', '0.000222', '0.000000', '0.005185', '0.005203')
('owner', 'vfx-1', '0.000029', '0.000145', '0.000000', '0.000185', '0.000000', '0.009148', '0.009202')
('owner', 'vfx-2', '0.000025', '0.000148', '0.000000', '0.000188', '0.000000', '0.005303', '0.005321')
('owner', 'vfx-3', '0.000029', '0.000970', '0.000000', '0.001048', '0.000000', '0.006375', '0.006393')
('owner', 'color', '0.000030', '0.000144', '0.000000', '0.000183', '0.000000', '0.010107', '0.010134')
('owner', 'sound', '0.000033', '0.000171', '0.000000', '0.000215', '0.000000', '0.052118', '0.052144')
('owner', 'hdr', '0.000034', '0.000187', '0.000000', '0.000227', '0.000000', '0.052538', '0.052563')
('vfx-1', 'owner', '0.000052', '0.000185', '0.000000', '0.000228', '0.000000', '0.005412', '0.005434')
('vfx-1', 'vfx-2', '0.000026', '0.000151', '0.000000', '0.000193', '0.000000', '0.007612', '0.007669')
('vfx-1', 'vfx-3', '0.000037', '0.000206', '0.000000', '0.000249', '0.000000', '0.008115', '0.008185')
('vfx-1', 'color', '0.000051', '0.000186', '0.000000', '0.000226', '0.000000', '0.011261', '0.011283')
('vfx-1', 'sound', '0.000027', '0.000189', '0.000000', '0.000232', '0.000000', '0.053042', '0.053066')
('vfx-1', 'hdr', '0.000026', '0.000130', '0.000000', '0.000170', '0.000000', '0.099862', '0.099884')
('vfx-2', 'owner', '0.000028', '0.000146', '0.000000', '0.000187', '0.000000', '0.005613', '0.005632')
('vfx-2', 'vfx-1', '0.000035', '0.000157', '0.000000', '0.000198', '0.000000', '0.003852', '0.003876')
('vfx-2', 'vfx-3', '0.000033', '0.000158', '0.000000', '0.000201', '0.000000', '0.003779', '0.003802')
('vfx-2', 'color', '0.000034', '0.000164', '0.000000', '0.000206', '0.000000', '0.020035', '0.020103')
('vfx-2', 'sound', '0.000036', '0.000173', '0.000000', '0.000215', '0.000000', '0.055015', '0.055043')
('vfx-2', 'hdr', '0.000052', '0.000169', '0.000000', '0.000210', '0.000000', '0.099738', '0.099761')
('vfx-3', 'owner', '0.000026', '0.000150', '0.000000', '0.000191', '0.000000', '0.005492', '0.005542')
('vfx-3', 'vfx-1', '0.000027', '0.000143', '0.000000', '0.000184', '0.000000', '0.003621', '0.003647')
('vfx-3', 'vfx-2', '0.000033', '0.000172', '0.000000', '0.000214', '0.000000', '0.004021', '0.004045')
('vfx-3', 'color', '0.000056', '0.000164', '0.000000', '0.000206', '0.000000', '0.017396', '0.017418')
('vfx-3', 'sound', '0.000038', '0.000190', '0.000000', '0.000233', '0.000000', '0.051143', '0.051168')
('vfx-3', 'hdr', '0.000030', '0.000234', '0.000000', '0.000283', '0.000000', '0.050143', '0.050198')
('color', 'owner', '0.000052', '0.000283', '0.000000', '0.000336', '0.000000', '0.007660', '0.007726')
('color', 'vfx-1', '0.000046', '0.000251', '0.000000', '0.000305', '0.000000', '0.006401', '0.006444')
('color', 'vfx-2', '0.000108', '0.000868', '0.000000', '0.001005', '0.000000', '0.007671', '0.007751')
('color', 'vfx-3', '0.000065', '0.000321', '0.000000', '0.000386', '0.000000', '0.008414', '0.008482')
('color', 'sound', '0.000082', '0.000448', '0.000000', '0.000531', '0.000000', '0.053742', '0.053798')
('color', 'hdr', '0.000045', '0.000245', '0.000000', '0.000293', '0.000000', '0.104475', '0.104590')
('sound', 'owner', '0.000030', '0.000142', '0.000000', '0.000184', '0.000000', '0.056405', '0.056469')
('sound', 'vfx-1', '0.000033', '0.000169', '0.000000', '0.000210', '0.000000', '0.057903', '0.057928')
('sound', 'vfx-2', '0.000026', '0.000142', '0.000000', '0.000184', '0.000000', '0.098640', '0.098661')
('sound', 'vfx-3', '0.000029', '0.000134', '0.000000', '0.000175', '0.000000', '0.051694', '0.051717')
('sound', 'color', '0.000028', '0.000152', '0.000000', '0.000201', '0.000000', '0.053636', '0.053662')
('sound', 'hdr', '0.000039', '0.000178', '0.000000', '0.000219', '0.000000', '0.005611', '0.005630')
('hdr', 'owner', '0.000027', '0.000146', '0.000000', '0.000186', '0.000000', '0.096118', '0.096162')
('hdr', 'vfx-1', '0.000034', '0.000156', '0.000000', '0.000200', '0.000000', '0.050583', '0.050609')
('hdr', 'vfx-2', '0.000025', '0.000144', '0.000000', '0.000184', '0.000000', '0.052399', '0.052425')
('hdr', 'vfx-3', '0.000026', '0.000134', '0.000000', '0.000181', '0.000000', '0.050360', '0.050382')
('hdr', 'color', '0.000026', '0.000134', '0.000000', '0.000171', '0.000000', '0.054699', '0.054722')
('hdr', 'sound', '0.000027', '0.000148', '0.000000', '0.000190', '0.000000', '0.005621', '0.005639')
('owner', 'vfx-1', '0.000031', '0.000138', '0.000000', '0.000177', '0.000000', '0.008884', '0.008944')
('owner', 'vfx-2', '0.000076', '0.000561', '0.000000', '0.001328', '0.000000', '0.005772', '0.005792')
('owner', 'vfx-3', '0.000068', '0.000257', '0.000000', '0.000305', '0.000000', '0.006053', '0.006077')
('owner', 'color', '0.000025', '0.000131', '0.000000', '0.000169', '0.000000', '0.009797', '0.009843')
('owner', 'sound', '0.000031', '0.000137', '0.000000', '0.000177', '0.000000', '0.052004', '0.052032')
('owner', 'hdr', '0.000027', '0.000159', '0.000000', '0.000201', '0.000000', '0.052353', '0.052412')
('vfx-1', 'owner', '0.000032', '0.000160', '0.000000', '0.000204', '0.000000', '0.006395', '0.006420')
('vfx-1', 'vfx-2', '0.000028', '0.000160', '0.000000', '0.000207', '0.000000', '0.007979', '0.008048')
('vfx-1', 'vfx-3', '0.000028', '0.000167', '0.000000', '0.000284', '0.000000', '0.007360', '0.007414')
('vfx-1', 'color', '0.000027', '0.000137', '0.000000', '0.000176', '0.000000', '0.008515', '0.008545')
('vfx-1', 'sound', '0.000027', '0.000142', '0.000000', '0.000184', '0.000000', '0.055865', '0.055892')
('vfx-1', 'hdr', '0.000036', '0.000156', '0.000000', '0.000197', '0.000000', '0.052125', '0.052152')
('vfx-2', 'owner', '0.000034', '0.000173', '0.000000', '0.000218', '0.000000', '0.006033', '0.006055')
('vfx-2', 'vfx-1', '0.000025', '0.000138', '0.000000', '0.000178', '0.000000', '0.003894', '0.003917')
('vfx-2', 'vfx-3', '0.000030', '0.000163', '0.000000', '0.000207', '0.000000', '0.004292', '0.004317')
('vfx-2', 'color', '0.000028', '0.000209', '0.000000', '0.000258', '0.000000', '0.022308', '0.022376')
('vfx-2', 'sound', '0.000047', '0.000196', '0.000000', '0.000239', '0.000000', '0.053253', '0.053275')
('vfx-2', 'hdr', '0.000034', '0.000172', '0.000000', '0.000216', '0.000000', '0.052957', '0.052985')
('vfx-3', 'owner', '0.000035', '0.000149', '0.000000', '0.000190', '0.000000', '0.006317', '0.006336')
('vfx-3', 'vfx-1', '0.000034', '0.000182', '0.000000', '0.000226', '0.000000', '0.007101', '0.007128')
('vfx-3', 'vfx-2', '0.000033', '0.000169', '0.000000', '0.000210', '0.000000', '0.003902', '0.003923')
('vfx-3', 'color', '0.000037', '0.000203', '0.000000', '0.000249', '0.000000', '0.009437', '0.009465')
('vfx-3', 'sound', '0.000080', '0.000400', '0.000000', '0.000459', '0.000000', '0.052985', '0.053007')
('vfx-3', 'hdr', '0.000028', '0.000145', '0.000000', '0.000186', '0.000000', '0.051318', '0.051344')
('color', 'owner', '0.000062', '0.000351', '0.000000', '0.000410', '0.000000', '0.007710', '0.007743')
('color', 'vfx-1', '0.000099', '0.000529', '0.000000', '0.000612', '0.000000', '0.008061', '0.008125')
('color', 'vfx-2', '0.000078', '0.000428', '0.000000', '0.000498', '0.000000', '0.007108', '0.007157')
('color', 'vfx-3', '0.000060', '0.000357', '0.000000', '0.000421', '0.000000', '0.008943', '0.009013')
('color', 'sound', '0.000088', '0.000472', '0.000000', '0.000551', '0.000000', '0.053297', '0.053364')
('color', 'hdr', '0.000078', '0.000410', '0.000000', '0.000487', '0.000000', '0.056465', '0.056636')
('sound', 'owner', '0.000038', '0.000385', '0.000000', '0.000430', '0.000000', '0.054475', '0.054548')
('sound', 'vfx-1', '0.000034', '0.000174', '0.000000', '0.000219', '0.000000', '0.053888', '0.053911')
('sound', 'vfx-2', '0.000026', '0.000120', '0.000000', '0.000156', '0.000000', '0.050571', '0.050595')
('sound', 'vfx-3', '0.000034', '0.000175', '0.000000', '0.000217', '0.000000', '0.049863', '0.049885')
('sound', 'color', '0.000026', '0.000168', '0.000000', '0.000210', '0.000000', '0.055429', '0.055451')
('sound', 'hdr', '0.000033', '0.000124', '0.000000', '0.000164', '0.000000', '0.005340', '0.005355')
('hdr', 'owner', '0.000029', '0.000142', '0.000000', '0.000185', '0.000000', '0.050673', '0.050695')
