('color', 'vfx-3', '0.000047', '0.000153', '0.000000', '0.000191', '0.000000', '0.005873', '0.005910')
('color', 'sound', '0.000025', '0.000123', '0.000000', '0.000159', '0.000000', '0.051131', '0.051171')
('color', 'hdr', '0.000031', '0.000136', '0.000000', '0.000172', '0.000000', '0.100782', '0.100833')
('sound', 'owner', '0.000027', '0.000189', '0.000000', '0.000241', '0.000000', '0.102530', '0.102594')
('sound', 'vfx-1', '0.000034', '0.000165', '0.000000', '0.000206', '0.000000', '0.096217', '0.096283')
('sound', 'vfx-2', '0.000035', '0.000176', '0.000000', '0.000222', '0.000000', '0.052307', '0.052370')
('sound', 'vfx-3', '0.000027', '0.000144', '0.000000', '0.000187', '0.000000', '0.052941', '0.053007')
('sound', 'color', '0.000027', '0.000144', '0.000000', '0.000184', '0.000000', '0.052526', '0.052593')
('sound', 'hdr', '0.000036', '0.000185', '0.000000', '0.000240', '0.000000', '0.007676', '0.007734')
('hdr', 'owner', '0.000034', '0.000181', '0.000000', '0.000222', '0.000000', '0.050623', '0.050689')
('hdr', 'vfx-1', '0.000027', '0.000252', '0.000000', '0.000323', '0.000000', '0.052749', '0.052846')
('hdr', 'vfx-2', '0.000026', '0.000141', '0.000000', '0.000199', '0.000000', '0.054026', '0.054092')
('hdr', 'vfx-3', '0.000027', '0.000140', '0.000000', '0.000179', '0.000000', '0.052498', '0.052565')
('hdr', 'color', '0.000033', '0.000167', '0.000000', '0.000210', '0.000000', '0.052496', '0.052560')
('hdr', 'sound', '0.000026', '0.000150', '0.000000', '0.000190', '0.000000', '0.007283', '0.007348')
('owner', 'vfx-1', '0.000037', '0.000165', '0.000000', '0.000207', '0.000000', '0.006336', '0.006383')
('owner', 'vfx-2', '0.000025', '0.000135', '0.000000', '0.000174', '0.000000', '0.005595', '0.005649')
('owner', 'vfx-3', '0.000058', '0.000394', '0.000000', '0.000480', '0.000000', '0.005682', '0.005730')
('owner', 'color', '0.000025', '0.000131', '0.000000', '0.000172', '0.000000', '0.005299', '0.005349')
('owner', 'sound', '0.000027', '0.000150', '0.000000', '0.000194', '0.000000', '0.050968', '0.051029')
('owner', 'hdr', '0.000033', '0.000164', '0.000000', '0.000205', '0.000000', '0.052764', '0.052829')
('vfx-1', 'owner', '0.000033', '0.000164', '0.000000', '0.000205', '0.000000', '0.006064', '0.006109')
