('hdr', 'sound', '0.000030', '0.000158', '0.000000', '0.000192', '0.000000', '0.007588', '0.007627')
('owner', 'vfx-1', '0.000031', '0.000161', '0.000000', '0.000202', '0.000000', '0.011695', '0.011752')
('owner', 'vfx-2', '0.000036', '0.000161', '0.000000', '0.000532', '0.000000', '0.011320', '0.011391')
('owner', 'vfx-3', '0.000033', '0.000169', '0.000000', '0.000208', '0.000000', '0.011889', '0.011945')
('owner', 'color', '0.000026', '0.000142', '0.000000', '0.000182', '0.000000', '0.008768', '0.008813')
('owner', 'sound', '0.000026', '0.000148', '0.000000', '0.000189', '0.000000', '0.054689', '0.054749')
('owner', 'hdr', '0.000027', '0.000149', '0.000000', '0.000195', '0.000000', '0.052310', '0.052382')
('vfx-1', 'owner', '0.000074', '0.000235', '0.000000', '0.000311', '0.000000', '0.011148', '0.011216')
('vfx-1', 'vfx-2', '0.000028', '0.000154', '0.000000', '0.000198', '0.000000', '0.007076', '0.007143')
('vfx-1', 'vfx-3', '0.000035', '0.000240', '0.000000', '0.000310', '0.000000', '0.013109', '0.013174')
('vfx-1', 'color', '0.000033', '0.000166', '0.000000', '0.000211', '0.000000', '0.008366', '0.008444')
('vfx-1', 'sound', '0.000027', '0.000137', '0.000000', '0.000177', '0.000000', '0.057277', '0.057343')
('vfx-1', 'hdr', '0.000034', '0.000207', '0.000000', '0.000249', '0.000000', '0.053751', '0.053850')
('vfx-2', 'owner', '0.000046', '0.000199', '0.000000', '0.000240', '0.000000', '0.009656', '0.009718')
('vfx-2', 'vfx-1', '0.000029', '0.000153', '0.000000', '0.000226', '0.000000', '0.008768', '0.008829')
('vfx-2', 'vfx-3', '0.000035', '0.000155', '0.000000', '0.000203', '0.000000', '0.007008', '0.007070')
('vfx-2', 'color', '0.000056', '0.000182', '0.000000', '0.000226', '0.000000', '0.008038', '0.008604')
('vfx-2', 'sound', '0.000037', '0.000194', '0.000000', '0.000240', '0.000000', '0.054391', '0.054460')
('vfx-2', 'hdr', '0.000040', '0.000224', '0.000000', '0.000272', '0.000000', '0.055095', '0.055162')
('vfx-3', 'owner', '0.000031', '0.000165', '0.000000', '0.000209', '0.000000', '0.007882', '0.007946')
('vfx-3', 'vfx-1', '0.000034', '0.000163', '0.000000', '0.000203', '0.000000', '0.007217', '0.007285')
('vfx-3', 'vfx-2', '0.000033', '0.000183', '0.000000', '0.000226', '0.000000', '0.008849', '0.008914')
