('vfx-1', 'vfx-3', '0.000026', '0.000140', '0.000000', '0.000183', '0.000000', '0.006867', '0.006950')
('vfx-1', 'color', '0.000024', '0.000127', '0.000000', '0.000167', '0.000000', '0.005090', '0.005111')
('vfx-1', 'sound', '0.000032', '0.000151', '0.000000', '0.000193', '0.000000', '0.050351', '0.050375')
('vfx-1', 'hdr', '0.000025', '0.000142', '0.000000', '0.000184', '0.000000', '0.050415', '0.050470')
('vfx-2', 'owner', '0.000024', '0.000288', '0.000000', '0.000375', '0.000000', '0.005590', '0.005605')
('vfx-2', 'vfx-1', '0.000042', '0.000217', '0.000000', '0.000268', '0.000000', '0.003979', '0.004000')
('vfx-2', 'vfx-3', '0.000059', '0.000190', '0.000000', '0.000237', '0.000000', '0.004390', '0.004412')
('vfx-2', 'color', '0.000035', '0.000143', '0.000000', '0.000184', '0.000000', '0.008719', '0.008763')
('vfx-2', 'sound', '0.000033', '0.000178', '0.000000', '0.000224', '0.000000', '0.052395', '0.052414')
('vfx-2', 'hdr', '0.000029', '0.000160', '0.000000', '0.000202', '0.000000', '0.049609', '0.049627')
('vfx-3', 'owner', '0.000026', '0.000125', '0.000000', '0.000163', '0.000000', '0.005029', '0.005047')
('vfx-3', 'vfx-1', '0.000025', '0.000125', '0.000000', '0.000165', '0.000000', '0.004117', '0.004137')
('vfx-3', 'vfx-2', '0.000026', '0.000129', '0.000000', '0.000168', '0.000000', '0.003667', '0.003688')
('vfx-3', 'color', '0.000024', '0.000128', '0.000000', '0.000169', '0.000000', '0.005320', '0.005339')
('vfx-3', 'sound', '0.000025', '0.000121', '0.000000', '0.000160', '0.000000', '0.057488', '0.057541')
('vfx-3', 'hdr', '0.000025', '0.000162', '0.000000', '0.000215', '0.000000', '0.050128', '0.050149')
('color', 'owner', '0.000033', '0.000217', '0.000000', '0.000268', '0.000000', '0.004971', '0.004992')
('color', 'vfx-1', '0.000027', '0.000152', '0.000000', '0.000194', '0.000000', '0.005179', '0.005200')
('color', 'vfx-2', '0.000027', '0.000184', '0.000000', '0.000227', '0.000000', '0.004941', '0.004965')
('color', 'vfx-3', '0.000027', '0.000149', '0.000000', '0.000189', '0.000000', '0.004809', '0.004831')
('color', 'sound', '0.000037', '0.000191', '0.000000', '0.000234', '0.000000', '0.099815', '0.099882')
('color', 'hdr', '0.000035', '0.000174', '0.000000', '0.000217', '0.000000', '0.099391', '0.099421')
('sound', 'owner', '0.000060', '0.000268', '0.000000', '0.000318', '0.000000', '0.052270', '0.052306')
('sound', 'vfx-1', '0.000026', '0.000150', '0.000000', '0.000190', '0.000000', '0.055014', '0.055039')
('sound', 'vfx-2', '0.000026', '0.000135', '0.000000', '0.000183', '0.000000', '0.056774', '0.056798')
('sound', 'vfx-3', '0.000035', '0.000173', '0.000000', '0.000217', '0.000000', '0.053441', '0.053471')
('sound', 'color', '0.000033', '0.000153', '0.000000', '0.000192', '0.000000', '0.055793', '0.055815')
('sound', 'hdr', '0.000027', '0.000144', '0.000000', '0.000184', '0.000000', '0.005512', '0.005536')
('hdr', 'owner', '0.000030', '0.000138', '0.000000', '0.000178', '0.000000', '0.102964', '0.103045')
('hdr', 'vfx-1', '0.000029', '0.000146', '0.000000', '0.000187', '0.000000', '0.054339', '0.054361')
('hdr', 'vfx-2', '0.000026', '0.000144', '0.000000', '0.000184', '0.000000', '0.100785', '0.100838')
('hdr', 'vfx-3', '0.000027', '0.000146', '0.000000', '0.000184', '0.000000', '0.051890', '0.051949')
('hdr', 'color', '0.000034', '0.000166', '0.000000', '0.000208', '0.000000', '0.050173', '0.050200')
('hdr', 'sound', '0.000026', '0.000137', '0.000000', '0.000177', '0.000000', '0.007679', '0.007697')
('owner', 'vfx-1', '0.000030', '0.000198', '0.000000', '0.000244', '0.000000', '0.008143', '0.008212')
('owner', 'vfx-2', '0.000037', '0.000168', '0.000000', '0.000212', '0.000000', '0.005129', '0.005149')
('owner', 'vfx-3', '0.000035', '0.000185', '0.000000', '0.000232', '0.000000', '0.006083', '0.006106')
('owner', 'color', '0.000027', '0.000135', '0.000000', '0.000176', '0.000000', '0.005436', '0.005454')
('owner', 'sound', '0.000026', '0.000135', '0.000000', '0.000176', '0.000000', '0.052142', '0.052185')
('owner', 'hdr', '0.000025', '0.000156', '0.000000', '0.000209', '0.000000', '0.052388', '0.052413')
('vfx-1', 'owner', '0.000026', '0.000123', '0.000000', '0.000161', '0.000000', '0.005422', '0.005440')
('vfx-1', 'vfx-2', '0.000032', '0.000153', '0.000000', '0.000196', '0.000000', '0.007820', '0.007884')
('vfx-1', 'vfx-3', '0.000026', '0.000151', '0.000000', '0.000197', '0.000000', '0.006498', '0.006546')
('vfx-1', 'color', '0.000027', '0.000135', '0.000000', '0.000175', '0.000000', '0.005102', '0.005123')
('vfx-1', 'sound', '0.000027', '0.000147', '0.000000', '0.000189', '0.000000', '0.050231', '0.050253')
('vfx-1', 'hdr', '0.000028', '0.000147', '0.000000', '0.000193', '0.000000', '0.050433', '0.050456')
('vfx-2', 'owner', '0.000027', '0.000149', '0.000000', '0.000191', '0.000000', '0.008145', '0.008163')
('vfx-2', 'vfx-1', '0.000027', '0.000129', '0.000000', '0.000172', '0.000000', '0.003687', '0.003707')
