('vfx-1', 'hdr', '0.000026', '0.000163', '0.000000', '0.000207', '0.000000', '0.053205', '0.053270')
('vfx-2', 'owner', '0.000037', '0.000166', '0.000000', '0.000209', '0.000000', '0.008049', '0.008101')
('vfx-2', 'vfx-1', '0.000025', '0.000138', '0.000000', '0.000179', '0.000000', '0.006498', '0.006547')
('vfx-2', 'vfx-3', '0.000038', '0.000187', '0.000000', '0.000232', '0.000000', '0.014530', '0.014592')
('vfx-2', 'color', '0.000028', '0.000173', '0.000000', '0.000212', '0.000000', '0.011991', '0.012082')
('vfx-2', 'sound', '0.000036', '0.000178', '0.000000', '0.000226', '0.000000', '0.098715', '0.098786')
('vfx-2', 'hdr', '0.000030', '0.000163', '0.000000', '0.000203', '0.000000', '0.053508', '0.053591')
('vfx-3', 'owner', '0.000030', '0.000147', '0.000000', '0.000189', '0.000000', '0.008133', '0.008178')
('vfx-3', 'vfx-1', '0.000025', '0.000135', '0.000000', '0.000175', '0.000000', '0.006074', '0.006120')
('vfx-3', 'vfx-2', '0.000054', '0.000183', '0.000000', '0.000224', '0.000000', '0.011047', '0.011115')
('vfx-3', 'color', '0.000027', '0.000140', '0.000000', '0.000181', '0.000000', '0.011510', '0.011569')
('vfx-3', 'sound', '0.000036', '0.000154', '0.000000', '0.000195', '0.000000', '0.053547', '0.053619')
('vfx-3', 'hdr', '0.000216', '0.000372', '0.000000', '0.000416', '0.000000', '0.053245', '0.053366')
('color', 'owner', '0.000040', '0.000223', '0.000000', '0.000271', '0.000000', '0.008915', '0.009024')
('color', 'vfx-1', '0.000040', '0.000232', '0.000000', '0.000286', '0.000000', '0.009402', '0.009532')
('color', 'vfx-2', '0.000078', '0.000585', '0.000000', '0.000668', '0.000000', '0.011098', '0.011217')
('color', 'vfx-3', '0.000049', '0.000220', '0.000000', '0.000272', '0.000000', '0.008609', '0.008709')
('color', 'sound', '0.000086', '0.000329', '0.000000', '0.000383', '0.000000', '0.055346', '0.055469')
('color', 'hdr', '0.000042', '0.000310', '0.000000', '0.000366', '0.000000', '0.053686', '0.053788')
('sound', 'owner', '0.000034', '0.000149', '0.000000', '0.000192', '0.000000', '0.053873', '0.053946')
('sound', 'vfx-1', '0.000034', '0.000154', '0.000000', '0.000195', '0.000000', '0.055425', '0.055492')
('sound', 'vfx-2', '0.000058', '0.000205', '0.000000', '0.000256', '0.000000', '0.055174', '0.055250')
('sound', 'vfx-3', '0.000032', '0.001419', '0.000000', '0.001490', '0.000000', '0.054814', '0.054880')
('sound', 'color', '0.000034', '0.000189', '0.000000', '0.000233', '0.000000', '0.057325', '0.057394')
('sound', 'hdr', '0.000026', '0.000139', '0.000000', '0.000177', '0.000000', '0.007714', '0.007767')
('hdr', 'owner', '0.000038', '0.000171', '0.000000', '0.000215', '0.000000', '0.052879', '0.053015')
('hdr', 'vfx-1', '0.000028', '0.000135', '0.000000', '0.000174', '0.000000', '0.056125', '0.056211')
('hdr', 'vfx-2', '0.000026', '0.000146', '0.000000', '0.000187', '0.000000', '0.053435', '0.053501')
('hdr', 'vfx-3', '0.000025', '0.000177', '0.000000', '0.000218', '0.000000', '0.053243', '0.053314')
('hdr', 'color', '0.000035', '0.000177', '0.000000', '0.000220', '0.000000', '0.061491', '0.061558')
('hdr', 'sound', '0.000029', '0.000145', '0.000000', '0.000184', '0.000000', '0.008215', '0.008269')
('owner', 'vfx-1', '0.000038', '0.001266', '0.000000', '0.001344', '0.000000', '0.008406', '0.008472')
('owner', 'vfx-2', '0.000027', '0.000152', '0.000000', '0.000193', '0.000000', '0.008339', '0.008413')
