('vfx-1', 'owner', '0.000027', '0.000141', '0.000000', '0.000181', '0.000000', '0.010615', '0.010635')
('vfx-1', 'vfx-2', '0.000030', '0.000161', '0.000000', '0.000201', '0.000000', '0.011397', '0.011448')
('vfx-1', 'vfx-3', '0.000033', '0.000138', '0.000000', '0.000178', '0.000000', '0.015116', '0.015166')
('vfx-1', 'color', '0.000053', '0.000242', '0.000000', '0.000288', '0.000000', '0.015640', '0.015662')
('vfx-1', 'sound', '0.000026', '0.000136', '0.000000', '0.000175', '0.000000', '0.099908', '0.099931')
('vfx-1', 'hdr', '0.000026', '0.000138', '0.000000', '0.000180', '0.000000', '0.057670', '0.057692')
('vfx-2', 'owner', '0.000026', '0.000145', '0.000000', '0.000186', '0.000000', '0.012418', '0.012441')
('vfx-2', 'vfx-1', '0.000041', '0.000164', '0.000000', '0.000206', '0.000000', '0.008205', '0.008226')
('vfx-2', 'vfx-3', '0.000026', '0.000131', '0.000000', '0.000172', '0.000000', '0.007595', '0.007616')
('vfx-2', 'color', '0.000028', '0.000143', '0.000000', '0.000187', '0.000000', '0.023525', '0.023586')
('vfx-2', 'sound', '0.000037', '0.000190', '0.000000', '0.000231', '0.000000', '0.059166', '0.059201')
('vfx-2', 'hdr', '0.000025', '0.000135', '0.000000', '0.000176', '0.000000', '0.060601', '0.060625')
('vfx-3', 'owner', '0.000027', '0.000152', '0.000000', '0.000191', '0.000000', '0.010765', '0.010787')
('vfx-3', 'vfx-1', '0.000026', '0.000137', '0.000000', '0.000178', '0.000000', '0.008844', '0.008869')
('vfx-3', 'vfx-2', '0.000027', '0.000147', '0.000000', '0.000189', '0.000000', '0.008541', '0.008564')
('vfx-3', 'color', '0.000037', '0.000190', '0.000000', '0.000233', '0.000000', '0.018766', '0.018791')
('vfx-3', 'sound', '0.000031', '0.000178', '0.000000', '0.000222', '0.000000', '0.059666', '0.059735')
('vfx-3', 'hdr', '0.000024', '0.000139', '0.000000', '0.000179', '0.000000', '0.055147', '0.055172')
('color', 'owner', '0.000040', '0.000212', '0.000000', '0.000260', '0.000000', '0.010351', '0.010384')
('color', 'vfx-1', '0.000047', '0.000275', '0.000000', '0.000325', '0.000000', '0.011122', '0.011159')
('color', 'vfx-2', '0.000029', '0.000189', '0.000000', '0.000235', '0.000000', '0.014324', '0.014349')
('color', 'vfx-3', '0.000034', '0.000204', '0.000000', '0.000254', '0.000000', '0.011363', '0.011393')
('color', 'sound', '0.000046', '0.000286', '0.000000', '0.000337', '0.000000', '0.108580', '0.108615')
('color', 'hdr', '0.000045', '0.000585', '0.000000', '0.000680', '0.000000', '0.062397', '0.062432')
('sound', 'owner', '0.000028', '0.000210', '0.000000', '0.000282', '0.000000', '0.062223', '0.062249')
('sound', 'vfx-1', '0.000027', '0.000151', '0.000000', '0.000196', '0.000000', '0.062742', '0.062770')
('sound', 'vfx-2', '0.000027', '0.000143', '0.000000', '0.000190', '0.000000', '0.104263', '0.104284')
('sound', 'vfx-3', '0.000033', '0.000133', '0.000000', '0.000172', '0.000000', '0.057473', '0.057502')
('sound', 'color', '0.000026', '0.000151', '0.000000', '0.000191', '0.000000', '0.056067', '0.056090')
('sound', 'hdr', '0.000026', '0.000142', '0.000000', '0.000183', '0.000000', '0.012823', '0.012846')
('hdr', 'owner', '0.000030', '0.000182', '0.000000', '0.000229', '0.000000', '0.063582', '0.063652')
('hdr', 'vfx-1', '0.000034', '0.000167', '0.000000', '0.000209', '0.000000', '0.055315', '0.055338')
('hdr', 'vfx-2', '0.000038', '0.000179', '0.000000', '0.000220', '0.000000', '0.108082', '0.108112')
('hdr', 'vfx-3', '0.000026', '0.000144', '0.000000', '0.000186', '0.000000', '0.065694', '0.065723')
('hdr', 'color', '0.000036', '0.000183', '0.000000', '0.000224', '0.000000', '0.056991', '0.057018')
('hdr', 'sound', '0.000027', '0.000304', '0.000000', '0.000356', '0.000000', '0.010999', '0.011024')
('owner', 'vfx-1', '0.000072', '0.000218', '0.000000', '0.000260', '0.000000', '0.012837', '0.012909')
('owner', 'vfx-2', '0.000037', '0.000163', '0.000000', '0.000204', '0.000000', '0.010635', '0.010662')
('owner', 'vfx-3', '0.000026', '0.000140', '0.000000', '0.000181', '0.000000', '0.013086', '0.013109')
('owner', 'color', '0.000026', '0.000149', '0.000000', '0.000190', '0.000000', '0.013423', '0.013463')
('owner', 'sound', '0.000035', '0.000227', '0.000000', '0.000281', '0.000000', '0.057778', '0.057805')
('owner', 'hdr', '0.000026', '0.000148', '0.000000', '0.000190', '0.000000', '0.056311', '0.056333')
('vfx-1', 'owner', '0.000027', '0.000139', '0.000000', '0.000181', '0.000000', '0.010747', '0.010764')
('vfx-1', 'vfx-2', '0.000039', '0.000198', '0.000000', '0.000243', '0.000000', '0.015637', '0.015699')
('vfx-1', 'vfx-3', '0.000033', '0.000165', '0.000000', '0.000209', '0.000000', '0.013665', '0.013719')
('vfx-1', 'color', '0.000024', '0.000152', '0.000000', '0.000193', '0.000000', '0.014546', '0.014571')
('vfx-1', 'sound', '0.000063', '0.000243', '0.000000', '0.000313', '0.000000', '0.057281', '0.057304')
('vfx-1', 'hdr', '0.000025', '0.000144', '0.000000', '0.000183', '0.000000', '0.058077', '0.058101')
('vfx-2', 'owner', '0.000026', '0.000155', '0.000000', '0.000195', '0.000000', '0.014983', '0.015005')
('vfx-2', 'vfx-1', '0.000032', '0.000150', '0.000000', '0.000192', '0.000000', '0.009122', '0.009145')
('vfx-2', 'vfx-3', '0.000048', '0.000160', '0.000000', '0.000200', '0.000000', '0.008376', '0.008393')
('vfx-2', 'color', '0.000032', '0.000145', '0.000000', '0.000184', '0.000000', '0.018891', '0.018942')
('vfx-2', 'sound', '0.000035', '0.000170', '0.000000', '0.000211', '0.000000', '0.067381', '0.067406')
('vfx-2', 'hdr', '0.000025', '0.000143', '0.000000', '0.000202', '0.000000', '0.058764', '0.058788')
('vfx-3', 'owner', '0.000032', '0.000170', '0.000000', '0.000212', '0.000000', '0.011363', '0.011386')
('vfx-3', 'vfx-1', '0.000028', '0.000145', '0.000000', '0.000186', '0.000000', '0.011876', '0.011897')
('vfx-3', 'vfx-2', '0.000028', '0.000154', '0.000000', '0.000194', '0.000000', '0.008400', '0.008418')
('vfx-3', 'color', '0.000027', '0.000143', '0.000000', '0.000189', '0.000000', '0.011420', '0.011436')
('vfx-3', 'sound', '0.000034', '0.000142', '0.000000', '0.000180', '0.000000', '0.108705', '0.108773')
